Sports & Leisure: What New York Yankees captain died when he crashed his plane short of the runway?|Thurman Munson
People & Places: Who was the first European to stand atop Mount Everest?|Edmund Hillary
Arts & Entertainment: Who did Franco Zeffirelli call "the most beautiful creation I have ever seen ... almost like a drug"?|Brooke Shields
History: What flying ace's nickname was inspired by the color of his Albatross biplane?|Manfred von Richthofen (the Red Baron)
Sports & Leisure: What, drawn from a Greek epic, is the most popular sailboat name in the U.S.?|Odyssey
History: Who did John Hinckley Jr. mean in writing: "(She's) got the look I crave. What else can I say?"?|Jodie Foster
World: Who made the Statue Of Liberty disappear in a 1983 telecast?|David Copperfield
World: What Long Islander's beeper contract fetched $1,430 at auction?|Amy Fisher's
Sports & Leisure: What amusement park's stock plunged 350 percent between 1992 and the end of 1993?|Euro Disney's
History: What three-word phrase hit "The Washington Post" 135 times in President Bush's first two years in office?|Read my lips
World: What church secretary took it off for "Playboy" and hosted the mud-wrestling show "Thunder & Mud"?|Jessica Hahn
Science & Nature: What remote spot did an explorer finally reach on his third attempt, in 1909?|The North Pole
Science & Nature: What were a reported 1,519 New York City residents bitten by in 1985?|Other people
Sports & Leisure: What Kansas City Royals rookie stunned teammates by giving them autographed photos when he reported?|Bo Jackson
World: What former child star originated the role of Mordred in the Broadway musical "Camelot"?|Roddy McDowall
Science & Nature: What 1962 book by Rachel Carson is credited with increasing public interest in environmental dangers?|Silent Spring
Sports & Leisure: What decathlon star claimed he kept in shape as a youth by running from police?|Dave Johnson
Arts & Entertainment: What did Murphy Brown name her child in 1992, in the most-watched TV birth since 1953's Little Ricky?|Avery
Sports & Leisure: Which chess term comes from the Arabic phrase meaning "the Shah is dead"?|Checkmate
Sports & Leisure: What golfer did "Sports Illustrated" say "has destroyed more hotel rooms than water seepage"?|John Daly
History: Who earned international headlines for slapping a battle-fatigued soldier in 1943?|George Patton
Sports & Leisure: In what game does a batsman protect a wicket?|Cricket
People & Places: Who had his likeness added to a Michelangelo work when he ordered a replica for his Las Vegas bedroom?|Liberace
Sports & Leisure: Who failed a drug test and lost a 100 meters gold medal at the 1988 Olympics?|Ben Johnson's
History: Along with Lady Bird Johnson, who stood beside Lyndon B. Johnson when he was sworn in as president in 1963?|Jacqueline Kennedy
World: What London museum was named for a Swiss miss who sculpted fellow prisoners' severed heads?|Madame Tussaud's Wax Exhibition
World: What movie monster fought King Kong atop a mountain?|Godzilla
Arts & Entertainment: What Seattle band saw its second album spawn record first-week U.S. sales of 950,000 copies in 1993?|Pearl Jam
Arts & Entertainment: Who concentrated on the guitar full-time after an injury shortened his paratrooper career?|Jimi Hendrix
People & Places: What European capital sandbagged air raid shelters in World War II?|London
Sports & Leisure: Who was standing at home plate when he heard about the birth of his son, Mickey Elvin?|Mickey Mantle
Arts & Entertainment: What speed did Marty McFly have to reach to get his souped-up DeLorean car back to the future?|Eighty-eight miles an hour
World: What alien's voice was produced by electronically mixing an actress' voice with another actor's?|E.T.'s
Sports & Leisure: What Dallas Cowboys star always adds the number "8" after his name when signing autographs?|Troy Aikman
Arts & Entertainment: What was the question, according to Hamlet?|To be or not to be
World: What airline tripled its business during the years it used a koala as a pitchman?|Qantas
People & Places: Name one of the three Southern gentlemen etched in Stone Mountain?|Robert E. Lee, Jefferson Davis, Stonewall Jackson
Arts & Entertainment: Who shaved his head and lost 30 pounds for a role that won him an Oscar in 1994?|Tom Hanks
Science & Nature: Where have the ashes of "Star Trek" producer Gene Roddenberry gone that few ashes have gone before?|Outer space
Science & Nature: What U.S. president did Albert Einstein write, warning it was possible to build an atomic bomb?|Franklin D. Roosevelt
Sports & Leisure: What does a red flag with a diagonal white stripe mean, when floating on the water?|Diver down
History: What did the sign read on the house of ill repute that televangelist Jimmy Swaggart frequented?|No refunds after 15 minutes
People & Places: How many of General Custer's brothers bit the dust with him at Little Bighorn?|Two
World: What city did Mr. Potato Head and his bride honeymoon in, according to Hasbro?|Boise, Idaho
History: What method of propulsion was used to ferry "durham" boats - wind, oars or poles?|Poles
World: What did Ms. Gabor instruct reporters to call her, after she married Frederick von Anhalt?|Princess Zsa Zsa
People & Places: What song did Crosby, Stills, Nash and Young sing to commemorate a bloody 1970 campus scene?|Ohio
Sports & Leisure: Whose cable to Italy's 1938 World Cup soccer team read: "Win or die!"?|Benito Mussolini's
World: What kind of burger went for 5.5 rubles when McDonalds opened up on Red Square?|A Bolshoi Mak (Big Mac)
Science & Nature: Where do geocarpic fruits ripen?|Underground
World: What Nobel Peace Prize winner shares his last name with ballet apparel?|Desmond Tutu
World: What show saw Bob Barker give losers a bottle of Jungle Gardenia perfume?|Truth or Consequences
Arts & Entertainment: What corpulent comedian donated a pair of his pants to complete Charlie Chaplin's Little Tramp outfit?|Fatty Arbuckle
Sports & Leisure: What town did Babe Ruth begin and end his major league playing career in?|Boston
History: What button sold 20 million units in 1971?|The happy face button
People & Places: What U.S. state contains almost all of Yellowstone National Park?|Wyoming
People & Places: What assassin had a sliver of his thorax end up at Philadelphia's Mutter Museum?|John Wilkes Booth
History: Who predicted in March, 1930, that Wall Street's crash "will have passed during the next 60 days"?|Herbert Hoover
Sports & Leisure: Who inspired Phillies catcher Darren Daulton to quip: "It ain't over till the fat guy swings"?|John Kruk
Science & Nature: What method of suicide is second most popular in the U.S.?|Poison
People & Places: What U.S. city saw only 15 of its 33 daily newspapers published in English by 1990?|New York
Sports & Leisure: What banished ballplayer couldn't honestly comply with the request, "Say it ain't so, Joe"?|Shoeless Joe Jackson
History: What were early 20th-century American feminists best known as?|Suffragettes
Arts & Entertainment: Name one of the three rock 'n' rollers who bit the dust when their plane plunged into a farm field in 1959?|The Big Bopper, Buddy Holly, Ritchie Valens "
Sports & Leisure: Who has scored against more than 140 goaltenders in his NHL career?|Wayne Gretzky
Sports & Leisure: What golfer turned around and aimed a screamer just over the heads of the gallery in August, 1993?|John Daly
Science & Nature: What's the most common affliction causing wrist pain in keyboard users?|Carpal tunnel syndrome
People & Places: What ocean was Amelia Earhart crossing when she vanished in 1937?|Pacific
Science & Nature: Which dinosaur reasoned with the smallest brain relative to its size?|Stegosaurus
Arts & Entertainment: What animated TV character admonished: "Don't have a cow, man"?|Bart Simpson
Science & Nature: Who is five times more likely to die in an accident - a right-handed or a left-handed person?|A left-handed person
People & Places: What river is responsible for the Grand Canyon?|Colorado
World: What actress' bouts of flatulence inspired friends to nickname her for a novelty store item?|Whoopi Goldberg's
Arts & Entertainment: What Tony Orlando and Dawn ditty asked to rap on the ceiling?|Knock Three Times
Sports & Leisure: What figure skater was offered 35 movie deals during a single week in January, 1994?|Nancy Kerrigan
History: What substance do the Bill Of Rights 18th and 21st amendments reflect different views of?|Alcohol
History: Who shook hands with Yitzhak Rabin in 1993 for "the handshake that shook the world"?|Yasser Arafat
People & Places: What three-word phrase did James Brown exclaim when released from a Georgia work center in 1991?|I feel good
Sports & Leisure: What name did basketballer Kareem Abdul-Jabbar answer to when he played for UCLA?|Lew Alcindor
Sports & Leisure: Which clothing outfits joined Levi Strauss as ranking Nos. 1 and 2 in U.S. sales in 1993?|The Gap
Science & Nature: What 1992 event created 214,000 new jobs in Florida?|Hurricane Andrew
World: Who was born Belle Silverman before becoming America's most popular coloratura soprano?|Beverly Sills
History: Which presidential debater in 1960 had a right leg three-quarters of an inch longer than the left?|John F. Kennedy
Sports & Leisure: Who copped the NBA's Most Valuable Player and Rookie of the Year awards in 1960?|Wilt Chamberlain
People & Places: What Southern state saw Bonnie and Clyde have a final date with dozens of bullets?|Louisiana
World: What brand of cat food was hawked by Morris in TV spots?|9-Lives
Science & Nature: What surgical procedure temporarily relieved Kenny Rogers of his love handles?|Liposuction
Science & Nature: What sentence was given to the traders caught in China selling illegal animal hides for $24,000?|Death
People & Places: What kind of music is most closely associated with the country of Jamaica?|Reggae
Science & Nature: What covered one-fourth of the earth's land surface in 1950 but will cover only one-sixth by 2000?|Forest
Sports & Leisure: Who began life as an arch-villain in a computer software game and went on to her own TV series?|Carmen Sandiego
Arts & Entertainment: Who wielded the knife during the filming of the shower scene in "Psycho"?|Alfred Hitchcock
History: What Brit was less than thrilled to learn he'd won "Mad" magazine's Alfred E. Neuman Look-Alike Contest?|Prince Charles
